,TRAIN,VAL
mOKS,nan,nan
mAP,nan,nan
mAR,nan,nan
avg_dist_px,1.2197,1.2575
p50_px,1.1185,1.1434
p90_px,2.0006,2.0509
p95_px,2.2791,2.4345
mPCK,0.6530,0.6888
PCK@5px,0.7011,0.7435
vis_Prec,0.9660,0.9746
vis_Rec,0.9942,0.9926
SLEAP_vis_FP,168.0000,21.0000
SLEAP_vis_FN,28.0000,6.0000
MPE_px,1.200,1.247
FP_rate_%,8.02,7.81
FN_rate_%,1.14,0.74
TD_px_per_frame,15.777,1.340
CR_frame_%,23.4,24.2
CR_kp_tau5px_%,3.4,2.7
n_frames,154,120
best_epoch,,35.0
