,TRAIN,VAL
mOKS,nan,nan
mAP,nan,nan
mAR,nan,nan
avg_dist_px,1.1373,1.1775
p50_px,1.0632,1.1005
p90_px,1.8159,1.9465
p95_px,2.0916,2.2106
mPCK,0.6599,0.6989
PCK@5px,0.7030,0.7472
vis_Prec,0.9886,0.9830
vis_Rec,0.9960,0.9963
SLEAP_vis_FP,55.0000,14.0000
SLEAP_vis_FN,19.0000,3.0000
MPE_px,1.108,1.163
FP_rate_%,2.59,5.20
FN_rate_%,0.83,0.37
TD_px_per_frame,15.448,1.169
CR_frame_%,8.4,15.0
CR_kp_tau5px_%,1.4,1.7
n_frames,154,120
best_epoch,,59.0
