epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/head1,train/confmaps/thorax1,train/confmaps/abdomen1,train/confmaps/forelegR1,train/confmaps/forelegL1,train/confmaps/midlegR1,train/confmaps/midlegL1,train/confmaps/hindlegR1,train/confmaps/hindlegL1
0,,0.004383334424346685,,,,,,,,,,,,
0,,0.0009010805515572429,,,,,,,,,,,,
1,0.001632795319892466,0.0003632912994362414,9.999999747378752e-05,26.904409408569336,0.8244338035583496,0.0012759671080857515,0.0011631832458078861,0.0013389228843152523,0.0018166801892220974,0.0018701334483921528,0.0018586213700473309,0.001985937589779496,0.0019141723169013858,0.001474538235925138
2,0.0007452702266164124,0.0002683031198102981,9.999999747378752e-05,27.47966957092285,0.84024977684021,0.00029453387833200395,0.0002946383028756827,0.0003029223589692265,0.0010479772463440895,0.0011200063163414598,0.0007273851078934968,0.0007519511855207384,0.0010894881561398506,0.001077914726920426
3,0.0004580999375320971,0.00019722346041817218,9.999999747378752e-05,39.22736740112305,0.8716530799865723,0.00019325727771501988,0.00019742680888157338,0.00021207328245509416,0.0005212082760408521,0.0005924803554080427,0.0004374493146315217,0.0005169895594008267,0.0006833488587290049,0.000768001948017627
4,0.00035252829547971487,0.00023040307860355824,9.999999747378752e-05,39.7518424987793,0.8913989067077637,0.0001585927529959008,0.0001416821760358289,0.00016727308684494346,0.0003334502689540386,0.0003932003164663911,0.00036795419873669744,0.00044055210310034454,0.0005425288109108806,0.0006277027423493564
5,0.00030276598408818245,0.00017147648031823337,9.999999747378752e-05,45.24268341064453,1.2535395622253418,0.00013369318912737072,0.00010916135943261907,0.00014791071589570493,0.000294752448098734,0.0003252573951613158,0.00031330453930422664,0.0003731267643161118,0.0004808299127034843,0.0005479485844261944
6,0.00026979483664035797,0.00015068221546243876,9.999999747378752e-05,29.68022918701172,0.9318890571594238,0.00011004532279912382,9.210872667608783e-05,0.0001189635950140655,0.00023329636314883828,0.00029017607448622584,0.0002838206710293889,0.00036101933801546693,0.000448366830823943,0.0004895952879451215
7,0.00024184519133996218,0.00016365866758860648,9.999999747378752e-05,41.27781677246094,0.9128916263580322,9.917081479215994e-05,7.696572720305994e-05,0.0001055563407135196,0.0002127898478647694,0.000234645078307949,0.0002698751341085881,0.0003131473786197603,0.0004157411167398095,0.000448829639935866
8,0.00022334314417093992,0.00015336908109020442,9.999999747378752e-05,40.4748649597168,1.1525633335113525,8.628076466266066e-05,6.790112820453942e-05,9.756263170856982e-05,0.00021197061869315803,0.00025136247859336436,0.00021142167679499835,0.00030607703956775367,0.0003637405170593411,0.0004136370844207704
9,0.0002019556559389457,0.00013401158503256738,9.999999747378752e-05,29.589948654174805,0.9041848182678223,8.374690514756367e-05,6.39555073576048e-05,9.064883488463238e-05,0.00017366063548251987,0.00019445062207523733,0.00021182371710892767,0.00028048569220118225,0.00034989049891009927,0.00037024394259788096
10,0.00020385660172905773,0.00012748768494930118,9.999999747378752e-05,29.180707931518555,0.8952879905700684,7.346965867327526e-05,5.700060137314722e-05,8.600211731391028e-05,0.0001823052589315921,0.00020475932979024947,0.00022540510690305382,0.00029011021251790226,0.00032268327777273953,0.0003927339566871524
11,0.00017410868895240128,0.00013641253462992609,9.999999747378752e-05,39.68098831176758,0.9168701171875,6.548418605234474e-05,5.046268051955849e-05,7.634185021743178e-05,0.00014574067608918995,0.0001698576525086537,0.00016843674529809505,0.0002575708203949034,0.00029032459133304656,0.00034357429831288755
12,0.00017826790281105787,0.00012612127466127276,9.999999747378752e-05,41.28902816772461,0.9020111560821533,7.150691089918837e-05,5.570265420828946e-05,7.884560181992128e-05,0.00015786696167197078,0.00017298749298788607,0.00018891361833084375,0.0002460921823512763,0.00028834681143052876,0.0003439823049120605
13,0.00016970276192296296,0.00011765443196054548,9.999999747378752e-05,29.204883575439453,0.9073843955993652,6.879644934087992e-05,4.8719768528826535e-05,7.285423635039479e-05,0.0001287606282858178,0.00015149172395467758,0.00017611005750950426,0.0002630645176395774,0.0002847079304046929,0.0003332238702569157
14,0.00015757596702314913,0.00011608908243943006,9.999999747378752e-05,39.51577377319336,0.9088513851165771,6.464020407292992e-05,4.789723243447952e-05,6.656476034549996e-05,0.00013556609337683767,0.0001532888854853809,0.00014639341679867357,0.0002457181108184159,0.0002491453487891704,0.0003085313073825091
15,0.00015235763567034155,0.0001111727106035687,9.999999747378752e-05,40.078941345214844,0.9228599071502686,5.8750669268192723e-05,4.125838677282445e-05,6.407994806068018e-05,0.00012603974028024822,0.00013887521345168352,0.0001594903296791017,0.00023178590345196426,0.00025334706879220903,0.0002981961879413575
16,0.00014814746100455523,0.00011275816359557211,9.999999747378752e-05,39.303733825683594,0.9144406318664551,5.797307312604971e-05,3.956966975238174e-05,6.137377204140648e-05,0.00010326382471248507,0.00013783847680315375,0.0001430242118658498,0.00023298895393963903,0.00022756040561944246,0.0003288770967628807
17,0.00014214275870472193,0.00012100741150788963,9.999999747378752e-05,39.6078987121582,0.903026819229126,5.934680666541681e-05,3.954406565753743e-05,6.179729825817049e-05,0.00011120727867819369,0.00012842770956922323,0.000140810152515769,0.00021765773999504745,0.00023062434047460556,0.00028947636019438505
18,0.00013611950271297246,0.00010801768075907603,9.999999747378752e-05,29.338621139526367,0.9236962795257568,5.509152833838016e-05,3.693982580443844e-05,6.48306668153964e-05,0.00010389232920715585,0.00011086135782534257,0.00014230348460841924,0.00022657324734609574,0.00021569010277744383,0.0002696914307307452
19,0.0001307163474848494,0.00010323026799596846,9.999999747378752e-05,28.92403221130371,0.8926651477813721,5.424624032457359e-05,3.7137953768251464e-05,5.5460335715906695e-05,9.533017146168277e-05,0.00011844037362607196,0.00011729646939784288,0.00019958436314482242,0.00022950515267439187,0.0002704518265090883
20,0.00012618214532267302,9.542056795908138e-05,9.999999747378752e-05,40.17412185668945,0.9272818565368652,5.1193248509662226e-05,3.619444396463223e-05,5.615624468191527e-05,9.316399518866092e-05,0.00010864933574339375,0.00012829089246224612,0.00020022827084176242,0.00019638174853753299,0.0002656090655364096
